 Let?s start with the basics. What is a virus?	"This is a small piece of the genetic code of RNA or DNA, protected by an external protein coat."
How deadly is the new virus?	"Most scientists believe that it kills from 1-2% of the infected. WHO now calls a different figure (more than 3%), but this indicator is likely to decline when it becomes clear how to take into account many undetected and non-serious cases. Mortality is clearly higher among older people and people with chronic diseases."
Should I focus on the average mortality rate?	"Not really. To understand the risks, it is more important to know that for certain groups of people the virus can be fatal, and for others it is less dangerous, but it can lead to completely different consequences."
"Then, what numbers to focus on?"	"In 80% of cases it is an easily occurring disease, but in 20% it becomes more serious. In a bad situation, patients have a high temperature and shortness of breath. As a result, some require hospitalization, and some require a stay in the intensive care unit if their lungs are severely infected."
Which groups of people are most at risk?	"First, older people like me: I?m 71. The older you are, the higher your risk. It is also elevated for people with chronic diseases such as diabetes, chronic obstructive pulmonary disease, diseases of the cardiovascular system and immunodeficiency."
How much higher is their risk of dying?	Their mortality rate rises to 10 or even 15%. And the risk increases when a person has several diseases.
Why is the risk so great if there are other diseases?	"Because in this case, the immune system is weakened and reacts worse to any virus, and especially to this one."
It seems that the virus has little or no effect on children and young people. This is true?	"So far it looks like it, but, like with many other COVID ? 19 factors, confirmation is needed."
"So far it looks like it, but, like with many other COVID ? 19 factors, confirmation is needed."	We do not know. It will take some time to understand this.
Does he still have unusual features?	"You can infect others, even if you yourself do not have symptoms and feel good. This is unusual, although it happens with HIV."
"COVID ? 19 is often compared to seasonal flu. Is such a comparison correct? For example, are they equally dangerous?"	"In the United States, up to 30 million people a year usually become infected with seasonal flu, and less than 0.1% of them die. But this is still a large number of people. In the world, an average of 300,000 people die from influenza per year. A new type of coronavirus is 10?20 times more dangerous, and we cannot protect ourselves from it now with the help of a vaccine."
Does a new virus spread as easily as flu?	"Yes, it seems."
And they have the same reasons? Is the flu also caused by a virus?	"Yes. It is caused by the flu virus. But the flu virus and coronavirus are very different. A flu shot will not help against coronavirus, but it will significantly reduce the risk of getting the flu. A common cold, from which there is no medicine or vaccine, is often caused by another type of virus ? rhinovirus, and occasionally another coronavirus."
How does the disease progress when the coronavirus settles in the body?	"Usually it all starts with a cough. Then the temperature rises. Then it rises very much, breathing problems appear."
At what point does medical care become a decisive factor for survival?	"Usually when there is a very high temperature, and the lungs are so affected by the virus that you have difficulty breathing or need a ventilator."
"How is the new virus different from diseases such as measles, mumps and chickenpox?"	"SARS ? CoV2 is currently much less contagious and dangerous, but we still don?t know much about it. And the listed diseases are well studied."
"If coronavirus is not as dangerous as other viruses, why is it so afraid?"	"Because a new threat that can kill or make us seriously ill, we are very nervous. But the antidote to fear is reliable information. Therefore, I strongly recommend that residents of the United States watch it on the Centers for Disease Control and Prevention website. And in other countries, I advise you to focus on the site of the local ministry of health or WHO."
How often is it worth visiting such sites?	"Scientists constantly learn something new about the virus and update information, so it?s better to check resources often."
 ??Has humanity ever completely destroyed a virus?	"Yes. Smallpox, which used to kill millions of people. And we are very close to eradicating polio thanks to the Bill and Melinda Gates Foundation and the governments of many countries. We must not forget how this disease terrorized everyone."
How is a new virus spreading around the world?	"On roads, air and sea. Today viruses travel by plane. Some passengers may have SARS ? CoV2."
" So, each international airport is a breeding ground for a new virus?"	SARS ? CoV2 is already present in most countries and not only at major international airports.
"The epidemic began in China, so those who come from this country are the most dangerous in terms of the spread of the virus in the United States?"	"The virus appeared in 2019, since then 20 million people have arrived in the United States from around the world. Most direct flights from China were suspended four weeks ago, but this did not stop the virus from entering the country. In China, cases of COVID-19 are now more often imported by people arriving from other countries, and the epidemic in China itself is likely to be on the decline (Peter Piot answered questions on March 12, 2020. ? Ed.)."
"In other words, is having a large airport a guarantee that the virus will spread throughout the country in less than three months?"	Yes. But this is not a reason to completely cease communication with the world.
Why did Japan close schools?	"This is done in other countries. Because scientists do not know how much children who can be carriers of the virus accelerate its spread. Japan is trying hard to slow this process down. Children usually transmit viruses quickly because they do not wash their hands and generally do not particularly monitor personal hygiene. They make a great contribution to the spread of influenza, so in many countries schools are closed during epidemics."
 Are there any medications for coronavirus that can be taken to alleviate symptoms or recover?	"There are no drugs found to be effective. Clinical trials of many drugs are being conducted, so I hope that the situation will change soon."
" What is the likelihood that drugs will be created, and how soon can this happen?"	"In the coming months, we are likely to find that some of the existing drugs help to recover. That is, we can use drugs that are now used against other viruses, such as HIV. But it will take time and a lot of tests."
And what about antibiotics? They are usually addressed in difficult cases.	"It is a virus, not a bacterium. Antibiotics act against bacteria, but not against viruses. They can help with secondary bacterial infections, but they themselves do not affect the new virus."
 What about all the tools that are talked about on the Internet?	"Most of what they write about is complete nonsense. More and more fake drugs will appear. Only if the tool was written in many proven sources, you can be sure that it is scientifically confirmed. So be careful not to spread rumors."
And the masks? Are they useful?	"Very limited and only in certain conditions. For example, depending on the type of surgical mask, less than 50% of viral particles are filtered out. But a mask can reduce the spread of the virus if you yourself are ill."
What are their advantages and who should wear them?	"A mask close to the face, if worn correctly , will slow the spread of viral particles during coughing. It will not protect you from other people. This is a means of protecting other people from you. To be masked if you have symptoms of a cold means to show respect for others. This item has an additional plus: in the mask you are less likely to touch your mouth, which means you are less likely to bring the virus into the body if it gets into your hands. This remedy is also a must-have for medical professionals."
Can something be done so as not to become infected?	"Often wash hands, try not to touch the face, sneeze and cough, closing with an elbow or a paper handkerchief, do not shake hands and do not hug. All this reduces the risk. If you become ill, stay home and consult your doctor over the phone about the following steps."
Scientists often talk about mitigation. What does it mean?	"It is about slowing down the spread of the virus and trying to limit its impact on the health care system, public life and the economy. As long as there is no vaccine, all we can do is slow down the spread. It is very important.

"
How else can you slow down the spread of the virus?	"Observe sanitary standards and elementary politeness in relation to each other. Plus, use measures of social distance: work from home, refuse to travel, close schools and cancel mass events."
Do some viruses spread more easily than others?	"Yes. Worst of all measles. It can be infected if you enter the room in which an infected person visited two hours ago! Therefore, when people stop vaccinating, measles outbreaks occur. This is a very serious illness. The common cold also spreads quite easily. But HIV is much more difficult to get infected, however, 32 million people died from it."
 What will be needed to stop the coronavirus?	"No one knows for sure, but China has proven that it is possible to significantly reduce distribution. To destroy SARS ? CoV2 completely, you need a vaccine."
How long does it take for a virus to spread across a country the size of the USA?	"With ordinary sanitary measures, it seems that the number of infected people doubles approximately every week. So, in about 14 weeks, 50 infected people will turn into a million. Naturally, we can take measures to slow down the process."
"How effective is hygiene? If people follow the instructions, the number of infected becomes noticeably reduced?"	It changes depending on how careful people are. Even small changes are important because they can relieve the health system of unnecessary stress.
 Could it be that there are thousands of unfixed cases of coronavirus among the population?	"Millions of flu cases are reported every year. This year some of them are actually COVID ? 19. In addition, many infected people have no symptoms or are very mild, so the answer is yes."
What exactly does a positive analysis result mean?	That the virus is present in the biological fluids of the person who passed this test.
Does everyone need to be tested as quickly as possible?	"Tests for COVID ? 19 should be made more accessible, because we still do not know enough about who is infected and how the virus spreads in society. They would help to get important data."
Why did the ?without leaving the car? testing system appear in South Korea?	"Because they are trying very hard to slow the growth of the outbreak, as soon as possible after finding all infected."
"What is the main symptom, after which you should be wary?"	Cough.
 And the temperature can be determined?	"High temperature is an alarming sign, and if it is available, you should seek medical help. But one measurement of temperature at airports and at border points will not help, while many people who are infected are not detected."
How many percent of people with a positive test came to Chinese hospitals without fever?	About 30%.
Can the virus return to the country after the outbreak there has subsided?	"SARS ? CoV2 will probably never leave without our efforts, just like smallpox and polio."
"That is, the only way to cope with it in the long term is global vaccination?"	"We really don?t know. Global measures may work, but the vaccine is likely to be effective only until the virus mutates too much."
"Or maybe it?s such that a new virus ?burns out?, like some others?"	"We do not know, but in general this is unlikely. SARS ? CoV2 is already established worldwide. Now this is not only China?s problem. Most likely, there are hundreds of thousands of infected, but not yet tested. Like the flu virus, SARS ? CoV2 can stay with us for a very very very long time."
" Will it return ? If yes, then when?"	"Again we do not know. But this is a very important issue. Most likely, it will be so, but it is too early to talk about this with confidence. The Spanish flu epidemic of 1918?1920 had three outbreaks. Perhaps in China, after the opening of schools and factories, a second wave of coronavirus will take place. But, until we see it with our own eyes, we cannot be sure how SARSCoV2 will behave."
Suppose we are lucky in the coming months. What can be considered luck in the current situation?	"Warm weather can slow the spread of the virus, although so far we have no evidence that this will be so. Singapore is only a hundred and a few kilometers from the equator, but there the warm climate did not stop the virus. It is likely that SARS ? CoV2 mutates into a less dangerous form and fewer people die from it. So it was with swine flu in 2009. But I would not rely on it. Luck would be to quickly find effective drug therapy. Actually, that?s all."
Do high-risk people have the same probability of mortality everywhere?	"Unfortunately not. Where there are modern, well-equipped hospitals, the mortality rate will be significantly lower due to respirators and fewer secondary infections."
How do I find out in which group of patients I will be: with mild symptoms or among those who require hospitalization?	"It is impossible to know exactly, but age over 70 and chronic diseases increase the risk of severe illness and death."
Should I worry that I will get sick?	"If you are not in a high-risk group, I would not worry too much, but I would do my best to avoid infection, because the individual reaction of the body is impossible to predict. Over the next few years, we will all be at risk of contracting the virus, as well as the risk of colds and flu. Therefore, everyone should be ready for self-isolation if necessary."
How is this ?everyone will be at risk??	"We all communicate with other people, but you can?t argue with biology. I would try to take reasonable precautions, but at the same time I did not focus on anxiety. It definitely won?t help."
"If in the end everyone gets infected with a coronavirus, why try to avoid it? Now I?ll get sick and will continue to live in peace."	"It is necessary to slow down the spread of infection, that is, to reduce the number of new cases and the total number of cases so that doctors can save the most difficult patients. Otherwise, medical facilities will be crowded and will not be able to help people with other serious illnesses."
Is it true that after recovery you can become infected again?	"We do not know, but it seems that this is possible. There is no complete certainty yet. Need more research."
"But does permanent immunity, like with measles and mumps, happen?"	We do not have an answer to this question yet.
Such immunity is very important for recoveries. And for the whole society too? Why?	"This is important for developing a vaccine because it relies on the body?s ability to give an immune response and on the stability of the virus. And, of course, in the presence of immunity, the number of those who can become infected will gradually decrease."
"Will coronavirus become seasonal, like flu?"	Little time has passed so far to determine whether SARS ? CoV2 will have seasonal mutations and how billions of viral particles will change after passing through millions of carriers.
So this virus can mutate on its own and take on new forms with new symptoms?	"This is completely unknown. If so, new vaccines will be needed to prevent the mutated versions of SARS ? CoV2 from acting."
"Since a virus naturally mutates, does that mean it can become more deadly? And less?"	"Yes, both are possible. This is a new virus, so we have no idea how mutations will affect it."
"If coronavirus becomes an ongoing threat, what does this mean for me and my family?"	This means that we will all learn to live in new conditions and we will observe security measures. Now we should be especially attentive to the needs of older family members .
They say the virus can live on the kitchen table for nine days. It?s true?	"SARS ? CoV2 is likely to remain viable on some surfaces for quite some time, but we still don?t know how much."
"The greatest epidemic of recent times has been the Spanish flu pandemic of 1918?1920. Then it was not a new virus, but a mutated influenza virus. Can you compare SARS ? CoV2 with it?"	"SARS ? CoV2 is just as contagious and seems just as deadly, but time will tell. Keep in mind that in 1918 health care was far from what it is now in developed countries, and there were no antibiotics to treat bacterial pneumonia, which became the main cause of death."
Is there a chance that all this is a false alarm and in the summer we will be surprised at our panic?	"No. Coronavirus has already spread to more than a hundred countries, and it is very easily transmitted. Every day more and more sick people appear. This is not a training alert. It?s real."
It is hard to believe that a new virus can suddenly infect millions of people. When was the last time?	"With SARS and MERS, but they are not comparable in scale. HIV was a new virus that infected 70 million people, 32 million of whom died."
3. HIV affects poorer countries more. Will it be the same with coronavirus?	"
Yes exactly. In rich countries, the mortality rate will be much lower, because they are better off with drinking water, respiratory equipment, anti-infection measures, and the like. This could potentially be a huge problem where the health system is poorly developed, such as in Africa. When the virus reaches the most resource-limited countries in the world, the consequences can be disastrous."
So you are not very optimistic?	"In general, I am optimistic, but at the same time a lot of things cause discomfort and anxiety . I understand that people are afraid, especially if they are at high risk. But there is good news. We are already seeing progress in international cooperation, especially in the field of science and medicine. We see more transparency in government activities and the rapid development of therapeutic agents."
And what are your main concerns?	"The spread of coronavirus can quickly overload the healthcare system of any country and deprive people of access to medical care. I also fear that an overly acute reaction and fear can harm the economies of countries, and this is additional suffering for people."
 What should we psychologically prepare for?	"Moreover, in each city that launched the test, many ?new? cases will be detected, as well as an increase in the number of deaths, especially among the elderly. In fact, these are not new cases of infection, they already exist, just so far they are not known."
And what is your hope?	"Modern biology is developing at an unprecedented rate.
Not only the global medical community, but also government leaders are focusing on the threat.
We isolated the virus in a few days and quickly sequenced it (determined the amino acid or nucleotide sequences. ? Approx. Ed.).
I am sure that a cure will appear soon.
I hope there will be a vaccine.
We live in an information age. This will help everyone ? provided that we expose the fake and dangerous news."
How prepared are the US for a pandemic?	The US and other high-income countries had plenty of time to prepare. We all learned a lesson from unprecedented mass quarantines in China that slowed the spread of infection.
Who are you most worried about?	"About countries with limited resources. Every death is a tragedy. When we say that on average 1?2% of those infected will die from coronavirus, this is a very large figure. 1% of a million is 10 thousand people. And I?m worried about the elderly."
" In the future, new pandemics await us?"	"Undoubtedly. This is part of the destiny of mankind and an integral element of living on the ?planet of viruses.? This is an ongoing battle. We need to increase our combat readiness. That is, seriously invest in preparing for pandemics and create a global fire brigade long before our house is again in fire.

"
